Code,Name,Manufacturer,Part Number,Product Group Description,Stock Unit Name,Cost Price,Sales Price (£),Sales Price (€),Margin,DMI Sales Price (€),Variance (DMI IE),DMI URL (IE),DentalSky Sales Price (£),Variance (DentalSky),DentalSky URL,Dontalia Sales Price (€),Variance (Dontalia),Dontalia URL,DMI Sales Price (£),Variance (DMI UK),DMI URL (UK),Henry Schein Sales Price (€),Variance (Henry Schein),Henry Schein URL,DMI IE Notes,DMI UK Notes,DentalSky Notes,Dontalia Notes,Henry Schein Notes
FPM326,Astek Pro-Matrix - Wide - Blue (19005) - Pack50,Astek Innovations,19005," FINISHING, POLISHING MATERIALS",Pack (50),£29.51,£56.00,€64.96,47.3%,€83.09,-21.8%,https://www.dmi.ie/products/pegasus-astek-pro-matrix-50pk-wide-blue-pega-19005.html,N/A,N/A,,N/A,,,£70.52,-20.6%,https://www.dmi.co.uk/products/pegasus-astek-pro-matrix-50pk-wide-blue-pega-19005.html,N/A,,,,,Not listed on competitor,Not listed on competitor,Not listed on competitor
FPM351,UnoDent Alpha-Pro Prophy Paste Coarse Mint 300g (PPA020),UnoDent,PPA020," FINISHING, POLISHING MATERIALS",Each,£5.01,£7.49,€8.69,33.1%,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor
FPM361,Perfection Plus Prophy Paste Mint Medium 250g (PP010/0001),Perfection Plus,PP010/0001," FINISHING, POLISHING MATERIALS",Each,£4.35,£6.12,€7.10,28.9%,€53.78,-86.8%,https://www.dmi.ie/products/perfection-plus-prophy-paste-cups-200pk-coarse-cherry-perf-0100103.html,£6.70,-8.7%,https://www.dentalsky.com/perfection-plus-prophy-paste-medium-mint-250g.html,N/A,N/A,,£46.18,-86.7%,https://www.dmi.co.uk/products/perfection-plus-prophy-paste-cups-200pk-coarse-cherry-perf-0100103.html,N/A,,,,,,Not listed on competitor,Not listed on competitor
FPM505,Bossklein Tofflemire Matrix Bands No.1 Universal (CPM050),Bossklein,CPM050," FINISHING, POLISHING MATERIALS",Pack (12),£0.60,£0.86,€1.00,30.2%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor
GSC305,UnoDent Surface Disinfectant Spray Economy Refill 5L,UnoDent,GSC305,"CLEANING, STERILIZING PRODUCTS",Each,£18.35,£33.99,€39.43,46.0%,€49.68,-20.6%,https://www.dmi.ie/products/alcohol-surface-disinfectant-spray-economy-refill-5-litre-uno-gsc305.html?name=UnoDent&type=simple&_gl=1*10cyijy*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3NzQyMS4zLjEuMTc0NDE3OTQwMy4wLjAuMA..,N/A,N/A,,N/A,N/A,,£41.60,,https://www.dmi.co.uk/products/alcohol-surface-disinfectant-spray-economy-refill-5-litre-uno-gsc305.html?name=UnoDent&type=simple&_gl=1*10cyijy*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3NzQyMS4zLjEuMTc0NDE3OTQwMy4wLjAuMA..,N/A,,,,,Not listed on competitor,Not listed on competitor,Not listed on competitor
GSI032,Swann-Morton Surgical Blades Sterile No.15 (0205) - Box100,Swann-Morton,0205,GENERAL SURGICAL INSTRUMENTS,Box (100),£9.26,£14.93,€17.32,38.0%,€112.78,-84.6%,https://www.dmi.ie/products/dentsply-sirona-tc-bur-trimming-finishing-ln-bur-size-006-dent-e020524100610.html,£13.65,9.4%,https://www.dentalsky.com/carbon-steel-sterile-blades-no-15-100.html,€24.19,,https://www.dontalia.com/carbon-steel-surgical-blades.html,£99.04,-84.9%,https://www.dmi.co.uk/products/dentsply-sirona-tc-bur-trimming-finishing-ln-bur-size-006-dent-e020524100610.html,N/A,,,,,,,Not listed on competitor
IAO005,Ortho-Care Alginate Berry Flavoured 500g (9001-IE002) - Each,Ortho-Care,9001-IE002,IMPRESSION MATERIALS,Each,£15.07,£21.12,€24.50,28.6%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor
ICU171,UnoDent Imprep 2 AC Putty Soft Normal Set 2x300ml - Each,UnoDent,ICU171,IMPRESSION MATERIALS,Each,£15.62,£37.38,€43.36,58.2%,€69.36,-37.5%,https://dmi.aws.aphix.software/products/perfection-plus-impressplus-putty-2-x-300ml-regular-set-perf-0101300.html,N/A,N/A,,N/A,N/A,,€69.36,-46.1%,https://dmi.aws.aphix.software/products/perfection-plus-impressplus-putty-2-x-300ml-regular-set-perf-0101300.html,N/A,,,,,Not listed on competitor,Not listed on competitor,Not listed on competitor
IM039,Zhermack Hydrogum Refill 500g (C302025) - Each,Zhermack,C302025,IMPRESSION MATERIALS,Each,£5.57,£9.45,€10.96,41.1%,€13.38,-18.1%,https://www.dmi.ie/products/zhermack-hydrogum-500g-zher-c302025.html?name=Zhermack%20Hydrogum%20&type=simple&_gl=1*webuy*_up*MQ..*_ga*MTEwMDIwODM2OC4xNzQ0MTQxNTkw*_ga_0T1NKWVSZ2*MTc0NDE0MTU5MC4xLjEuMTc0NDE0MzMzMS4wLjAuMA..,£8.50,11.2%,https://www.dentalsky.com/hydrogum.html,€7.45,,https://www.dontalia.com/hydrogum-500g-bag,£11.20,,https://www.dmi.co.uk/products/zhermack-hydrogum-500g-zher-c302025.html?name=Zhermack%20Hydrogum%20&type=simple&_gl=1*webuy*_up*MQ..*_ga*MTEwMDIwODM2OC4xNzQ0MTQxNTkw*_ga_0T1NKWVSZ2*MTc0NDE0MTU5MC4xLjEuMTc0NDE0MzMzMS4wLjAuMA..,N/A,,,,,,,Not listed on competitor
IM119,Zhermack Hydrogum 5 Refill 453g Extra Fast  (C302070) - Each,Zhermack,C302070,IMPRESSION MATERIALS,Each,£6.30,£12.95,€15.02,51.4%,€15.61,-3.8%,https://www.dmi.ie/products/zhermack-hydrogum-5-day-453g-zher-c302070.html?name=Zhermack%20Hydrogum%20&type=simple&_gl=1*webuy*_up*MQ..*_ga*MTEwMDIwODM2OC4xNzQ0MTQxNTkw*_ga_0T1NKWVSZ2*MTc0NDE0MTU5MC4xLjEuMTc0NDE0MzMzMS4wLjAuMA..,£9.65,34.2%,https://www.dentalsky.com/hydrogum-5-alginate-453g.html,€8.79,,https://www.dontalia.com/hydrogum-5.html,£13.07,,https://www.dmi.co.uk/products/zhermack-hydrogum-5-day-453g-zher-c302070.html?name=Zhermack%20Hydrogum%20&type=simple&_gl=1*webuy*_up*MQ..*_ga*MTEwMDIwODM2OC4xNzQ0MTQxNTkw*_ga_0T1NKWVSZ2*MTc0NDE0MTU5MC4xLjEuMTc0NDE0MzMzMS4wLjAuMA..,N/A,,,,,,,Not listed on competitor
IM195,UnoDent Alginate Fast Set Vanilla Refill 500g (IAA300) -Each,UnoDent,IAA300,IMPRESSION MATERIALS,Each,£3.43,£5.59,€6.48,38.6%,€9.20,-29.5%,https://www.dmi.ie/products/unodent-fast-alginate-refill-500g-vanilla-uno-iaa300.html?name=UnoDent&type=simple&_gl=1*6fn687*_up*MQ..*_ga*NTkwNDgzNDM1LjE3NDQxNzk5ODQ.*_ga_0T1NKWVSZ2*MTc0NDE3OTk4NC4xLjAuMTc0NDE3OTk4NC4wLjAuMA..,N/A,N/A,,N/A,N/A,,£7.70,,https://www.dmi.co.uk/products/alcohol-surface-disinfectant-spray-economy-refill-5-litre-uno-gsc305.html?name=UnoDent&type=simple&_gl=1*10cyijy*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3NzQyMS4zLjEuMTc0NDE3OTQwMy4wLjAuMA..,N/A,,,,,Not listed on competitor,Not listed on competitor,Not listed on competitor
IM246,UnoDent Alginate Fast Set Mint Refill 500g (IAA310) - Each,UnoDent,IAA310,IMPRESSION MATERIALS,Each,£2.64,£6.42,€7.45,58.9%,€7.05,5.6%,https://www.dmi.ie/products/unodent-fast-alginate-refill-500g-mint-uno-iaa310.html?name=UnoDent&type=simple&_gl=1*6fn687*_up*MQ..*_ga*NTkwNDgzNDM1LjE3NDQxNzk5ODQ.*_ga_0T1NKWVSZ2*MTc0NDE3OTk4NC4xLjAuMTc0NDE3OTk4NC4wLjAuMA..,N/A,N/A,,N/A,N/A,,£5.90,,https://www.dmi.co.uk/products/unodent-fast-alginate-refill-500g-mint-uno-iaa310.html?name=UnoDent&type=simple&_gl=1*6fn687*_up*MQ..*_ga*NTkwNDgzNDM1LjE3NDQxNzk5ODQ.*_ga_0T1NKWVSZ2*MTc0NDE3OTk4NC4xLjAuMTc0NDE3OTk4NC4wLjAuMA..,N/A,,,,,Not listed on competitor,Not listed on competitor,Not listed on competitor
IMA030,"Covidien Monoject 3ml Endo Syringes & Needles 27Gx1.25"" -100",Covidien,1180327114E,IMPRESSION MATERIALS,Box (100),£16.53,£24.83,€28.80,33.4%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor
IMA123,UnoDent Mixing Pad 7.5x7.5cm Non Skid (CTP011) - Each,Unodent,CTP011,IMPRESSION MATERIALS,Each,£1.41,£2.70,€3.13,47.8%,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor
IMT009,J&S Davis Solo Impression Trays No.13 Upper Average - Box25,J&S Davis,SOL1013,IMPRESSION MATERIALS,Box (25),£11.82,£20.03,€23.23,41.0%,€29.07,-20.1%,https://www.dmi.ie/products/j-s-davis-solo-trays-upper-13-dentate-average-25pk-davi-sol1013.html?name=J&S%20Davis&type=simple&_gl=1*10s0ip3*_up*MQ..*_ga*MzI4NzQ0ODA0LjE3NDQxMTg5MTU.*_ga_0T1NKWVSZ2*MTc0NDExODkxNS4xLjEuMTc0NDExOTIwNi4wLjAuMA..,N/A,N/A,,N/A,,,£24.34,,https://www.dmi.co.uk/products/j-s-davis-solo-trays-upper-13-dentate-average-25pk-davi-sol1013.html?name=J&S%20Davis&type=simple&_gl=1*10s0ip3*_up*MQ..*_ga*MzI4NzQ0ODA0LjE3NDQxMTg5MTU.*_ga_0T1NKWVSZ2*MTc0NDExODkxNS4xLjEuMTc0NDExOTIwNi4wLjAuMA..,N/A,,,,,Not listed on competitor,Not listed on competitor,Not listed on competitor
IMT081,Pegasus Impression Trays No.1 Large Upper - Pack25,Astek Innovations,116125,IMPRESSION MATERIALS,Pack (25),£4.25,£5.90,€6.84,28.0%,€8.80,-22.2%,https://www.dmi.ie/products/pegasus-impression-tray-25pk-1-large-upper-a-pega-116125.html?name=Pegasus%20Impression%20Tra&type=simple&_gl=1*b2uwpo*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3MzMxMy4yLjEuMTc0NDE3MzMyNC4wLjAuMA..,£7.05,-16.3%,https://www.dentalsky.com/pegasus-impression-trays-large-upper-25.html,N/A,,,£7.37,,https://www.dmi.co.uk/products/pegasus-impression-tray-25pk-1-large-upper-a-pega-116125.html?name=Pegasus%20Impression%20Tra&type=simple&_gl=1*b2uwpo*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3MzMxMy4yLjEuMTc0NDE3MzMyNC4wLjAuMA..,N/A,,,,,,Not listed on competitor,Not listed on competitor
IMT082,Pegasus Impression Trays No.2 Large Lower - Pack25,Astek Innovations,116126,IMPRESSION MATERIALS,Pack (25),£4.25,£5.90,€6.84,28.0%,€8.79,-22.1%,https://www.dmi.ie/products/pegasus-impression-tray-25pk-2-large-lower-b-pega-116126.html?name=Pegasus%20Impression%20Tra&type=simple&_gl=1*hcdpa9*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3MzMxMy4yLjEuMTc0NDE3MzMyNC4wLjAuMA..,£7.05,-16.3%,https://www.dentalsky.com/pegasus-impression-trays-large-lower-25.html,N/A,,,£7.36,,https://www.dmi.co.uk/products/pegasus-impression-tray-25pk-2-large-lower-b-pega-116126.html?name=Pegasus%20Impression%20Tra&type=simple&_gl=1*hcdpa9*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3MzMxMy4yLjEuMTc0NDE3MzMyNC4wLjAuMA..,N/A,,,,,,Not listed on competitor,Not listed on competitor
IMT083,Pegasus Impression Trays No.3 Medium Upper - Pack25,Astek Innovations,116127,IMPRESSION MATERIALS,Pack (25),£4.19,£5.90,€6.84,29.0%,€8.30,-17.5%,https://www.dmi.ie/products/pegasus-impression-tray-25pk-3-medium-upper-c-pega-116127.html?name=Pegasus%20Impression%20Tra&type=simple&_gl=1*f2wccq*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3MzMxMy4yLjEuMTc0NDE3MzMyNC4wLjAuMA..,£7.05,-16.3%,https://www.dentalsky.com/pegasus-impression-trays-medium-upper-25.html,N/A,,,£6.95,,https://www.dmi.co.uk/products/pegasus-impression-tray-25pk-3-medium-upper-c-pega-116127.html?name=Pegasus%20Impression%20Tra&type=simple&_gl=1*f2wccq*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3MzMxMy4yLjEuMTc0NDE3MzMyNC4wLjAuMA..,N/A,,,,,,Not listed on competitor,Not listed on competitor
IMT084,Pegasus Impression Trays No.4 Medium Lower - Pack25,Astek Innovations,116128,IMPRESSION MATERIALS,Pack (25),£4.25,£5.90,€6.84,28.0%,€8.80,-22.2%,https://www.dmi.ie/products/pegasus-impression-tray-25pk-4-medium-lower-d-pega-116128.html?name=Pegasus%20Impression%20Tra&type=simple&_gl=1*f2wccq*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3MzMxMy4yLjEuMTc0NDE3MzMyNC4wLjAuMA..,£7.05,-16.3%,https://www.dentalsky.com/pegasus-impression-trays-medium-lower-25.html,N/A,,,£7.37,,https://www.dmi.co.uk/products/pegasus-impression-tray-25pk-4-medium-lower-d-pega-116128.html?name=Pegasus%20Impression%20Tra&type=simple&_gl=1*f2wccq*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3MzMxMy4yLjEuMTc0NDE3MzMyNC4wLjAuMA..,N/A,,,,,,Not listed on competitor,Not listed on competitor
IMT085,Pegasus Impression Trays No.5 Small Upper - Pack25,Astek Innovations,116129,IMPRESSION MATERIALS,Pack (25),£4.25,£5.90,€6.84,28.0%,€8.79,-22.1%,https://www.dmi.ie/products/pegasus-impression-tray-25pk-5-small-upper-e-pega-116129.html?name=Pegasus%20Impression%20Tra&type=simple&_gl=1*f2wccq*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3MzMxMy4yLjEuMTc0NDE3MzMyNC4wLjAuMA..,£7.05,-16.3%,https://www.dentalsky.com/pegasus-impression-trays-small-upper-25.html,N/A,,,£7.36,,https://www.dmi.co.uk/products/pegasus-impression-tray-25pk-5-small-upper-e-pega-116129.html?name=Pegasus%20Impression%20Tra&type=simple&_gl=1*f2wccq*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3MzMxMy4yLjEuMTc0NDE3MzMyNC4wLjAuMA..,N/A,,,,,,Not listed on competitor,Not listed on competitor
KIN005,Kin Gingival Mouthwash 250ml (340960) - Each,Kin,340960,ORAL HYGIENE,Each,£2.30,£3.06,€3.55,24.8%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor
LAB026B,"Orthodontic Box 9""x3""x3"" - Each",Nubox,YOM020,LABORATORY,Each,£0.85,£2.39,€2.77,64.4%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor
MEC396,Medicept Extreme Putty (5010) 2x250ml,Medicept,5010,MEDICEPT,Each,£23.15,£27.00,€31.32,14.2%,€211.26,-85.2%,https://www.dmi.ie/products/3m-ketac-fil-plus-aplicap-50pk-assorted-3m-55010.html,N/A,N/A,,N/A,,,£175.00,-84.6%,https://www.dmi.co.uk/products/3m-ketac-fil-plus-aplicap-50pk-assorted-3m-55010.html,N/A,,,,,Not listed on competitor,Not listed on competitor,Not listed on competitor
MED005,#Septodont Lignospan 2% Special 1.8ml - Box50,Septodont,LIGNO01A,MEDICINES,Box (50),£23.60,£28.84,€33.45,18.2%,N/A,N/A,,£31.25,-7.7%,,N/A,,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,,Not listed on competitor,Not listed on competitor
MED006,#Septodont Xylonor Gel 15g - Each,Septodont,XYLON01,MEDICINES,Each,£7.58,£11.33,€13.14,33.1%,€13.85,-5.1%,,£11.75,-3.6%,,N/A,,,£11.60,,https://www.dmi.co.uk/products/septodont-xylonor-gel-roi-15g-sept-xylon03.html,N/A,,,,,,Not listed on competitor,Not listed on competitor
MED008,#Septodont Lignospan 2% Special 2.2ml - Box50,Septodont,LIGNO02A,MEDICINES,Box (50),£23.60,£28.88,€33.50,18.3%,€40.96,-18.2%,,£31.25,-7.6%,,N/A,,,£34.29,,https://www.dmi.co.uk/products/septodont-lignospan-2-2-2ml-roi-50pk-sept-ligno02.html?_gl=1*1yefvg*_up*MQ..*_ga*NDc4MzgzODEzLjE3NDQ3MzIwNzM.*_ga_0T1NKWVSZ2*MTc0NDczMjA3Mi4xLjAuMTc0NDczMjA3Mi4wLjAuMA..,N/A,,,,,,Not listed on competitor,Not listed on competitor
MED009,#Septodont Scandonest 3% Plain 2.2ml - Box50,Septodont,SCAND04,MEDICINES,Box (50),£24.15,£29.85,€34.63,19.1%,€41.98,-17.5%,,£31.75,-6.0%,,N/A,,,£35.12,,https://www.dmi.co.uk/products/scandonest-3-plain-2-2ml-x-50-latex-free-uk-only-sept-5006r.html,N/A,,,,,,Not listed on competitor,Not listed on competitor
MED010,"#Septodont Septanest 1:100,000 2.2ml - Box50",Septodont,SEPTA01,MEDICINES,Box (50),£25.25,£30.81,€35.74,18.0%,€42.35,-15.6%,https://www.dmi.ie/products/septanest-4-articaine-40ml-10ml-2-2ml-roi-only-sept-11825o-roi.html?_gl=1*1lzgmd8*_up*MQ..*_ga*NDg0MTE3MTgyLjE3NDQ3Mjk2MDk.*_ga_0T1NKWVSZ2*MTc0NDcyOTYwOS4xLjEuMTc0NDczMTE5NS4wLjAuMA..,£33.95,-9.2%,,N/A,,,£35.46,,https://www.dmi.co.uk/products/septanest-4-articaine-40ml-10ml-2-2ml-roi-only-sept-11825o-roi.html?_gl=1*1lzgmd8*_up*MQ..*_ga*NDg0MTE3MTgyLjE3NDQ3Mjk2MDk.*_ga_0T1NKWVSZ2*MTc0NDcyOTYwOS4xLjEuMTc0NDczMTE5NS4wLjAuMA..,N/A,,,,,,Not listed on competitor,Not listed on competitor
MED011,"#Septodont Septanest 1:200,000 2.2ml - Box50",Septodont,SEPTA02,MEDICINES,Box (50),£26.14,£30.81,€35.74,15.1%,€42.35,-15.6%,,£33.95,-9.2%,,N/A,,,£35.46,,https://www.dmi.co.uk/products/septodont-septanest-1-200000-2-2ml-50pk-sept-septa02.html?_gl=1*8fm6d6*_up*MQ..*_ga*NDg0MTE3MTgyLjE3NDQ3Mjk2MDk.*_ga_0T1NKWVSZ2*MTc0NDcyOTYwOS4xLjAuMTc0NDcyOTYwOS4wLjAuMA..,N/A,,,,,,Not listed on competitor,Not listed on competitor
MED023,#Colgate Duraphat Varnish 10ml (FDE74600) - Each,Colgate,CG74600,MEDICINES,Each,£19.11,£28.92,€33.55,33.9%,N/A,N/A,https://www.dmi.ie/products/colgate-duraphat-varnish-10ml-50mg-ml-dmi-pfv010.html?name=Colgate%20Duraphat&type=simple&_gl=1*1wc9mxk*_up*MQ..*_ga*Mzg3OTUzMzY4LjE3NDQwNTQ2ODY.*_ga_0T1NKWVSZ2*MTc0NDA1NDY4Ni4xLjEuMTc0NDA1NTAyNi4wLjAuMA..,£30.60,-5.5%,https://www.dentalsky.com/duraphat-varnish-10ml-colgate.html,N/A,,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,,Not listed on competitor,Not listed on competitor
MED030,#Colgate Duraphat 2800 ppm Fluoride Toothpaste 6x75ml -Pack6,Colgate,CG211218,MEDICINES,Pack (6),£16.65,£25.50,€29.58,34.7%,N/A,N/A,,£0.00,N/A,https://www.dentalsky.com/duraphat-2800-toothpaste-colgate.html,N/A,,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,,Not listed on competitor,Not listed on competitor
MED035,#GSK Corsodyl Mouthwash Mint 6x300ml (60000000108780) - Box6,GSK,60000000108780,MEDICINES,Box (6),£16.96,£28.24,€32.76,39.9%,N/A,N/A,,£0.00,N/A,https://www.dentalsky.com/corsodyl-mint-mouthwash-300ml-bottle-gsk.html,N/A,,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,,Not listed on competitor,Not listed on competitor
MED041,#Colgate Duraphat 5000 ppm Fluoride Toothpaste - Each,Colgate,CG260822,MEDICINES,Each,£5.06,£10.00,€11.60,49.4%,€12.27,-5.5%,https://www.dmi.ie/products/colgate-duraphat-5000-toothpaste-single-colg-260822a.html?name=Colgate%20Duraphat&type=simple&_gl=1*kxpo7h*_up*MQ..*_ga*NjgyMDc3OTQ3LjE3NDQwNTUxODk.*_ga_0T1NKWVSZ2*MTc0NDA1NTE4OS4xLjAuMTc0NDA1NTE4OS4wLjAuMA..,£9.65,3.6%,https://www.dentalsky.com/duraphat-5000-toothpaste-colgate.html,N/A,,,£10.27,,https://www.dmi.co.uk/products/colgate-duraphat-5000-toothpaste-single-colg-260822a.html?name=Colgate%20Duraphat&type=simple&_gl=1*kxpo7h*_up*MQ..*_ga*NjgyMDc3OTQ3LjE3NDQwNTUxODk.*_ga_0T1NKWVSZ2*MTc0NDA1NTE4OS4xLjAuMTc0NDA1NTE4OS4wLjAuMA..,N/A,,,,,,Not listed on competitor,Not listed on competitor
MED060,#Dentsply Xylocaine 2% Standard 2.2ml - Box50,Dentsply,502,MEDICINES,Box (50),£19.73,£24.16,€28.03,18.3%,€211.26,-86.7%,https://www.dmi.ie/products/3m-ketac-fil-plus-aplicap-50pk-a1-3m-55020.html,£23.45,3.0%,https://www.dentalsky.com/xylocaine-2-standard-cartridges-2-2ml-50.html,N/A,,,£175.00,-86.2%,https://www.dmi.co.uk/products/3m-ketac-fil-plus-aplicap-50pk-a1-3m-55020.html,N/A,,,,,,Not listed on competitor,Not listed on competitor
MIS038,Perfection Plus Sterilisation Pouches 57x127mm (PP002/5000),Perfection Plus,002/5000/ 10,MISCELLANEOUS,Box (200),£3.95,£5.03,€5.83,21.5%,€8.30,-29.7%,"https://www.dmi.ie/products/perfection-plus-autoclave-pouches-200pk-57-x-127mm-perf-0025000.html?c[]=1896,2030&name=Sterilisation%20Pouches&type=simple&_gl=1*1fdtnl5*_up*MQ..*_ga*MTgzMzY1OTE1Ni4xNzQ0MTU1NjMx*_ga_0T1NKWVSZ2*MTc0NDE1NTYzMS4xLjEuMTc0NDE1NjA3Ny4wLjAuMA..",£8.85,-43.2%,https://www.dentalsky.com/protect-self-seal-sterilisation-pouches-59-x-127mm.html,N/A,N/A,,£6.95,,"https://www.dmi.co.uk/products/perfection-plus-autoclave-pouches-200pk-57-x-127mm-perf-0025000.html?c[]=1896,2030&name=Sterilisation%20Pouches&type=simple&_gl=1*1fdtnl5*_up*MQ..*_ga*MTgzMzY1OTE1Ni4xNzQ0MTU1NjMx*_ga_0T1NKWVSZ2*MTc0NDE1NTYzMS4xLjEuMTc0NDE1NjA3Ny4wLjAuMA..",N/A,,,,,,Not listed on competitor,Not listed on competitor
MIS039,Perfection Plus Sterilisation Pouches 85x165mm (PP002/5001),Perfection Plus,002/5001 / 10,MISCELLANEOUS,Box (200),£4.21,£5.51,€6.39,23.6%,€8.99,-28.9%,"https://www.dmi.ie/products/perfection-plus-autoclave-pouches-200pk-85-x-165mm-perf-0025001.html?c[]=1896,2030&name=Sterilisation%20Pouches&type=simple&_gl=1*1fdtnl5*_up*MQ..*_ga*MTgzMzY1OTE1Ni4xNzQ0MTU1NjMx*_ga_0T1NKWVSZ2*MTc0NDE1NTYzMS4xLjEuMTc0NDE1NjA3Ny4wLjAuMA..",£9.20,-40.1%,https://www.dentalsky.com/protect-self-seal-sterilisation-pouches-86-x-165mm.html,N/A,N/A,,£7.53,,"https://www.dmi.co.uk/products/perfection-plus-autoclave-pouches-200pk-85-x-165mm-perf-0025001.html?c[]=1896,2030&name=Sterilisation%20Pouches&type=simple&_gl=1*1fdtnl5*_up*MQ..*_ga*MTgzMzY1OTE1Ni4xNzQ0MTU1NjMx*_ga_0T1NKWVSZ2*MTc0NDE1NTYzMS4xLjEuMTc0NDE1NjA3Ny4wLjAuMA..",N/A,,,,,,Not listed on competitor,Not listed on competitor
MIS040,Perfection Plus Sterilisation Pouches 85x253mm (PP002/5002),Perfection Plus,002/5002,MISCELLANEOUS,Box (200),£3.33,£5.34,€6.19,37.6%,€19.63,-68.5%,https://www.dmi.ie/products/perfection-plus-autoclave-pouches-200pk-135-x-278mm-perf-0025003.html,£4.95,7.9%,https://www.dentalsky.com/protect-self-seal-sterilisation-pouches-86-x-253mm.html,N/A,N/A,,£16.75,-68.1%,https://www.dmi.co.uk/products/perfection-plus-autoclave-pouches-200pk-135-x-278mm-perf-0025003.html,N/A,,,,,,Not listed on competitor,Not listed on competitor
MIS041,Perfection Plus Sterilisation Pouches 135x278mm PP002/5003,Perfection Plus,002/5003,MISCELLANEOUS,Box (200),£6.60,£8.55,€9.92,22.8%,€16.67,-40.5%,"https://www.dmi.ie/products/perfection-plus-autoclave-pouches-200pk-135-x-278mm-perf-0025003.html?c[]=1896,2030&name=Sterilisation%20Pouches&type=simple&_gl=1*17wiboj*_up*MQ..*_ga*MTgzMzY1OTE1Ni4xNzQ0MTU1NjMx*_ga_0T1NKWVSZ2*MTc0NDE1NTYzMS4xLjEuMTc0NDE1NjA3Ny4wLjAuMA..",£14.30,-40.2%,https://www.dentalsky.com/protect-self-seal-sterilisation-pouches-135-x-278mm.html,N/A,N/A,,£13.96,,"https://www.dmi.co.uk/products/perfection-plus-autoclave-pouches-200pk-135-x-278mm-perf-0025003.html?c[]=1896,2030&name=Sterilisation%20Pouches&type=simple&_gl=1*17wiboj*_up*MQ..*_ga*MTgzMzY1OTE1Ni4xNzQ0MTU1NjMx*_ga_0T1NKWVSZ2*MTc0NDE1NTYzMS4xLjEuMTc0NDE1NjA3Ny4wLjAuMA..",N/A,,,,,,Not listed on competitor,Not listed on competitor
