Code,Name,Manufacturer,Part Number,Product Group Description,Stock Unit Name,Cost Price,Sales Price (£),Sales Price (€),Margin,DMI Sales Price (€),Variance (DMI IE),DMI URL (IE),DMI IE Notes,DMI IE Product,DMI IE Pack Flag,DMI IE Adjusted Variance,DMI Sales Price (£),Variance (DMI UK),DMI URL (UK),DMI UK Notes,DMI UK Product,DMI UK Pack Flag,DMI UK Adjusted Variance,DentalSky Sales Price (£),Variance (DentalSky),DentalSky URL,DentalSky Notes,DentalSky Product,DentalSky Pack Flag,DentalSky Adjusted Variance,Dontalia Sales Price (€),Variance (Dontalia),Dontalia URL,Dontalia Notes,Dontalia Product,Dontalia Pack Flag,Dontalia Adjusted Variance,Henry Schein Sales Price (€),Variance (Henry Schein),Henry Schein URL,Henry Schein Notes,Henry Schein Product,Henry Schein Pack Flag,Henry Schein Adjusted Variance
ENG009,UnoDent Barrier Envelopes Size 2 30x40mm (QWU002) - Pack300,UnoDent,QWU002,ENGINEERING,Pack (300),£21.20,£28.99,€33.63,26.9%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
ENG025,UnoDent Bite Covers Size 2 30x40mm (QWU012) - Pack200,UnoDent,QWU012,ENGINEERING,Pack (200),£12.66,£27.14,€31.48,53.3%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
EQS081A,UnoDent TST Indicator Strips (GAI085) - Box100,UnoDent,GAI085,EQS - Equipment Sundries,Box (100),£6.04,£16.87,€19.57,64.2%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
EQS150C,BF Mulholland Detergent - UltraClean 11/111 - 5Ltr (1080),SERCHEM,1080BFMUL,EQS - Equipment Sundries,Each,£14.50,£42.28,€49.04,65.7%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
ESB016,Edenta Steel Burs Round 23/010 Size 2 (1.204.010) - Pack 5,Edenta,1.204.010,ENDODONTICS & ACCESSORIES,Pack (5),£1.27,£1.90,€2.20,33.1%,€4.35,-49.4%,https://www.dmi.ie/products/edenta-ra-steel-round-burs-6pk-size-010-eden-1-204-010.html,,Edenta Steel Round Bur R/A Pack 5 Size 2/010,MATCH,,£3.74,-49.2%,https://www.dmi.co.uk/products/edenta-ra-steel-round-burs-6pk-size-010-eden-1-204-010.html,,Edenta Steel Round Bur R/A Pack 5 Size 2/010,MATCH,,£3.55,-46.5%,https://www.dentalsky.com/edenta-dental-steel-burs-ra-round-no-2-5.html,,,,,N/A,,,Not listed on competitor,,,,,,,,,,
ESB017,Edenta Steel Burs Round 23/012 Size 3 (1.204.012) - Pack 5,Edenta,1.204.012,ENDODONTICS & ACCESSORIES,Pack (5),£1.27,£1.90,€2.20,33.1%,€4.35,-49.4%,https://www.dmi.ie/products/edenta-ra-steel-round-burs-6pk-size-012-eden-1-204-012.html,,Edenta Steel Round Bur R/A Pack 5 Size 3/012,MATCH,,£3.74,-49.2%,https://www.dmi.co.uk/products/edenta-ra-steel-round-burs-6pk-size-012-eden-1-204-012.html,,Edenta Steel Round Bur R/A Pack 5 Size 3/012,MATCH,,£3.55,-46.5%,https://www.dentalsky.com/edenta-dental-steel-burs-ra-round-no-3-5.html,,,,,N/A,,,Not listed on competitor,,,,,,,,,,
ESB018,Edenta Steel Burs Round 23/014 Size 4 (1.204.014) - Pack 5,Edenta,1.204.014,ENDODONTICS & ACCESSORIES,Pack (5),£1.27,£1.90,€2.20,33.1%,€4.35,-49.4%,https://www.dmi.ie/products/edenta-ra-steel-round-burs-6pk-size-014-eden-1-204-014.html,,Edenta Steel Round Bur R/A Pack 5 Size 4/014,MATCH,,£3.74,-49.2%,https://www.dmi.co.uk/products/edenta-ra-steel-round-burs-6pk-size-014-eden-1-204-014.html,,Edenta Steel Round Bur R/A Pack 5 Size 4/014,MATCH,,£3.55,-46.5%,https://www.dentalsky.com/edenta-dental-steel-burs-ra-round-no-4-5.html,,,,,N/A,,,Not listed on competitor,,,,,,,,,,
ESB019,Edenta Steel Burs Round 23/016 Size 5 (1.204.016) -Pack 5,Edenta,1.204.016,ENDODONTICS & ACCESSORIES,Pack (5),£1.27,£1.90,€2.20,33.1%,€4.35,-49.4%,https://www.dmi.ie/products/edenta-ra-steel-round-burs-6pk-size-016-eden-1-204-016.html,,Edenta Steel Round Bur R/A Pack 5 Size 5/016,MATCH,,£3.74,-49.2%,https://www.dmi.co.uk/products/edenta-ra-steel-round-burs-6pk-size-016-eden-1-204-016.html,,Edenta Steel Round Bur R/A Pack 5 Size 5/016,MATCH,,£3.55,-46.5%,https://www.dentalsky.com/edenta-dental-steel-burs-ra-round-no-5-5.html,,,,,N/A,,,Not listed on competitor,,,,,,,,,,
ESB020,Edenta Steel Burs Round 23/018 Size 6 (1.204.018) - Pack 5,Edenta,1.204.018,ENDODONTICS & ACCESSORIES,Pack (5),£1.27,£1.90,€2.20,33.1%,€4.35,-49.4%,https://www.dmi.ie/products/edenta-ra-steel-round-burs-6pk-size-018-eden-1-204-018.html,,Edenta Steel Round Bur R/A Pack 5 Size 6/018,MATCH,,£3.74,-49.2%,https://www.dmi.co.uk/products/edenta-ra-steel-round-burs-6pk-size-018-eden-1-204-018.html,,Edenta Steel Round Bur R/A Pack 5 Size 6/018,MATCH,,£3.55,-46.5%,https://www.dentalsky.com/edenta-dental-steel-burs-ra-round-no-6-5.html,,,,,N/A,,,Not listed on competitor,,,,,,,,,,
ESB021,Edenta Steel Burs Round 23/021 Size 7 (1.204.021) - Pack 5,Edenta,1.204.021,ENDODONTICS & ACCESSORIES,Pack (5),£1.27,£1.90,€2.20,33.1%,€4.35,-49.4%,https://www.dmi.ie/products/edenta-ra-steel-round-burs-6pk-size-021-eden-1-204-021.html,,Edenta Steel Round Bur R/A Pack 5 Size 7/021,MATCH,,£3.74,-49.2%,https://www.dmi.co.uk/products/edenta-ra-steel-round-burs-6pk-size-021-eden-1-204-021.html,,Edenta Steel Round Bur R/A Pack 5 Size 7/021,MATCH,,£3.55,-46.5%,https://www.dentalsky.com/edenta-dental-steel-burs-ra-round-no-7-5.html,,,,,N/A,,,Not listed on competitor,,,,,,,,,,
ESB022,Edenta Steel Burs Round 23/023 Size 8 (1.204.023) - Pack 5,Edenta,1.204.023,ENDODONTICS & ACCESSORIES,Pack (5),£1.27,£1.90,€2.20,33.1%,€4.35,-49.4%,https://www.dmi.ie/products/edenta-ra-steel-round-burs-6pk-size-023-eden-1-204-023.html,,Edenta Steel Round Bur R/A Pack 5 Size 8/023,MATCH,,£3.74,-49.2%,https://www.dmi.co.uk/products/edenta-ra-steel-round-burs-6pk-size-023-eden-1-204-023.html,,Edenta Steel Round Bur R/A Pack 5 Size 8/023,MATCH,,£3.55,-46.5%,https://www.dentalsky.com/edenta-dental-steel-burs-ra-round-no-8-5.html,,,,,N/A,,,Not listed on competitor,,,,,,,,,,
EVS107,Hygitech Saline Water Pouch for Irrigation 500ml - Each,Hygitech,EVS107,GENERAL SURGICAL INSTRUMENTS,Each,£1.64,£2.84,€3.29,42.3%,€4.54,-27.4%,https://www.dmi.ie/products/saline-solution-pouch-for-irrigation-0-9-sodium-chloride-500ml-hygi-80109.html?name=Hygitech&type=simple&_gl=1*kjh9ve*_up*MQ..*_ga*ODIwNDE3ODY3LjE3NDQwNTc0NDE.*_ga_0T1NKWVSZ2*MTc0NDA1NzQ0MC4xLjEuMTc0NDA1Nzc3MC4wLjAuMA..,,,,,£3.80,,https://www.dmi.co.uk/products/saline-solution-pouch-for-irrigation-0-9-sodium-chloride-500ml-hygi-80109.html?name=Hygitech&type=simple&_gl=1*kjh9ve*_up*MQ..*_ga*ODIwNDE3ODY3LjE3NDQwNTc0NDE.*_ga_0T1NKWVSZ2*MTc0NDA1NzQ0MC4xLjEuMTc0NDA1Nzc3MC4wLjAuMA..,,,,,N/A,N/A,https://www.dentalsky.com/sterile-saline-water-pouches-15-x-500ml.html,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,,,,,,,
FA002,IntraVita PDO Threads 1-0 USP / 19G (YRPN19-96-W) - Pack10,IntraVita,YRPN19-96-W,GENERAL SURGICAL INSTRUMENTS,Pack (10),£150.00,£213.00,€247.08,29.6%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,,,,,,,
FAC008,Perfection Plus Applicator Brush Tips (PP002/1003) - Pack100,Perfection Plus,002/1003, FILLING MATERIALS ANTERIOR,Pack (100),£1.98,£5.64,€6.54,64.9%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
FAC023,Septodont Hemocollagene Sponges - Pack24,Septodont,HEMOC01, FILLING MATERIALS ANTERIOR,Pack (24),£36.82,£63.19,€73.30,41.7%,€74.76,-2.0%,,,,,,£62.60,,https://www.dmi.co.uk/products/septodont-hemocollagene-sponges-24pk-sept-hemoc01.html?_gl=1*16mqkao*_up*MQ..*_ga*NDg0MTE3MTgyLjE3NDQ3Mjk2MDk.*_ga_0T1NKWVSZ2*MTc0NDcyOTYwOS4xLjEuMTc0NDczMTU2Ny4wLjAuMA..,,,,,£53.45,18.2%,,,,,,€57.99,,,,,,,,,,,,,
FAC191A,Septodont Alveogyl Haemostatic Surgical Dressing Paste 10g,Septodont,ALVEO02, FILLING MATERIALS ANTERIOR,Each,£24.73,£52.01,€60.33,52.5%,€55.62,8.5%,,,,,,£46.57,,https://www.dmi.co.uk/products/septodont-alveogyl-jar-10g-sept-alveo02.html?_gl=1*14daqob*_up*MQ..*_ga*NDg0MTE3MTgyLjE3NDQ3Mjk2MDk.*_ga_0T1NKWVSZ2*MTc0NDcyOTYwOS4xLjEuMTc0NDczMTU2Ny4wLjAuMA..,,,,,£34.65,50.1%,,,,,,€34.95,,https://www.dontalia.com/alveogyl.html,,,,,,,,,,,
FAC198,Perfection Plus Needle Etch Tips (PP011/0080) - Pack25,Perfection Plus,PP011/0080, FILLING MATERIALS ANTERIOR,Pack (25),£1.80,£5.66,€6.57,68.2%,€5.39,21.8%,https://www.dmi.ie/products/perfection-plus-needle-etch-tips-25pk-perf-0110080.html?_gl=1*1azps2q*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3NzQyMS4zLjEuMTc0NDE3NzkwMi4wLjAuMA..,,,,,£4.51,,https://www.dmi.co.uk/products/perfection-plus-needle-etch-tips-25pk-perf-0110080.html?_gl=1*1azps2q*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3NzQyMS4zLjEuMTc0NDE3NzkwMi4wLjAuMA..,,,,,£6.25,-9.4%,https://www.dentalsky.com/perfection-plus-etch-tips-25.html,,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
FAC290,"Perfection Plus Rubber Dam Non Latex Blue Medium 6""x6"" - 20",Perfection Plus Ltd,004/0046, FILLING MATERIALS ANTERIOR,Box (20),£9.40,£13.40,€15.54,29.9%,€18.93,-17.9%,https://www.dmi.ie/products/perfection-plus-rubber-dam-blue-latex-free-20pk-medium-perf-0040046.html,,Perfection Plus Non Latex Medium Rubber Dam (Blue) -  Pack  20,MATCH,,£16.21,-17.3%,https://www.dmi.co.uk/products/perfection-plus-rubber-dam-blue-latex-free-20pk-medium-perf-0040046.html,,Perfection Plus Non Latex Medium Rubber Dam (Blue) -  Pack  20,MATCH,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
FAC293,"UnoDent Rubber Dam Non Latex Light Blue Medium 6""x6""(EWS025)",UnoDent,EWS025, FILLING MATERIALS ANTERIOR,Box (20),£7.88,£16.53,€19.17,52.3%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
FAC294,Bossklein Etchant Gel Jumbo Etching Kit 50ml (BOS9904) -Each,Bossklein,BOS9904, FILLING MATERIALS ANTERIOR,Each,£9.71,£14.26,€16.54,31.9%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,,,,,,,
FAC374,"UnoDent Rubber Dam Non Latex Light Blue Heavy 6""x6"" (EWS045)",UnoDent,EWS045, FILLING MATERIALS ANTERIOR,Box (20),£8.68,£28.43,€32.98,69.5%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
FAC375,Perfection Plus AppliPlus Regular Microbrush PP011/1112,Perfection Plus,PP011/1112, FILLING MATERIALS ANTERIOR,Pack (400),£5.60,£9.42,€10.93,40.6%,€11.85,-7.8%,https://www.dmi.ie/products/perfection-plus-appliplus-applicators-x-400-regular-perf-0111112.html,,Perfection Plus Appliplus Applicators Regular &ndash; Green &amp; Orange x 400,UNKNOWN,,£10.66,-11.6%,https://www.dmi.co.uk/products/perfection-plus-appliplus-applicators-x-400-regular-perf-0111112.html,,Perfection Plus Appliplus Applicators Regular &ndash; Green &amp; Orange x 400,UNKNOWN,,£11.55,-18.4%,https://www.dentalsky.com/appliplus-regular-400.html,,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
FAC401,"Perfection Plus Rubber Dam Non Latex Blue Heavy 6""x6"" - 20",Perfection Plus,004/0047, FILLING MATERIALS ANTERIOR,Box (20),£10.50,£15.10,€17.52,30.5%,€20.42,-14.2%,https://www.dmi.ie/products/perfection-plus-rubber-dam-blue-latex-free-20pk-heavy-perf-0040047.html,,Perfection Plus Non Latex Heavy Rubber Dam (Blue) -  Pack  20,MATCH,,£17.56,-14.0%,https://www.dmi.co.uk/products/perfection-plus-rubber-dam-blue-latex-free-20pk-heavy-perf-0040047.html,,Perfection Plus Non Latex Heavy Rubber Dam (Blue) -  Pack  20,MATCH,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
FBX200,UnoDent Micro Applicator Brush Super Fine White - Pack400,UnoDent,FBX200, FILLING MATERIALS ANTERIOR,Pack (400),£2.46,£5.31,€6.16,53.7%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
FBX203,UnoDent Micro Applicator Brush Regular Blue - Pack400,UnoDent,FBX203, FILLING MATERIALS ANTERIOR,Pack (400),£2.52,£15.22,€17.66,83.5%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
FMA1085,Kulzer Charisma ABC PLT A3 20x0.2g (66064792) - Pack20,Kulzer,66064792, FILLING MATERIALS ANTERIOR,Pack (20),£14.50,£22.77,€26.41,36.3%,€24.78,6.6%,https://www.dmi.ie/products/kulzer-charisma-abc-plt-20pk-a3-hera-66064792.html?name=Charisma%20ABC%20&type=simple&_gl=1*1w73ebq*_up*MQ..*_ga*MTcyNjk4NzM4NC4xNzQ0MTI3MTIz*_ga_0T1NKWVSZ2*MTc0NDEyNzEyMi4xLjAuMTc0NDEyNzEyMi4wLjAuMA..,,,,,£20.75,,https://www.dmi.co.uk/products/kulzer-charisma-abc-plt-20pk-a3-hera-66064792.html?name=Charisma%20ABC%20&type=simple&_gl=1*1w73ebq*_up*MQ..*_ga*MTcyNjk4NzM4NC4xNzQ0MTI3MTIz*_ga_0T1NKWVSZ2*MTc0NDEyNzEyMi4xLjAuMTc0NDEyNzEyMi4wLjAuMA..,,,,,£26.25,-13.3%,https://www.dentalsky.com/charisma-abc-20-x-0-2g-plts-a3.html,,,,,€44.86,,https://www.dontalia.com/charismar-abc-compules-refill.html,,,,,,,,,,,
FMA1377,UnoDent Luminos UN Syringe A2 4g (FLU811) - Each,UnoDent,FLU811, FILLING MATERIALS ANTERIOR,Each,£6.40,£16.88,€19.58,62.1%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
FMA1384,UnoDent Luminos UN Syringe BW 4g (FLU818) - Each,UnoDent,FLU818, FILLING MATERIALS ANTERIOR,Each,£6.40,£16.88,€19.58,62.1%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
FMA1389,UnoDent Luminos UN Capsules A2 20x0.25g (FLU831) - Pack20,UnoDent,FLU831, FILLING MATERIALS ANTERIOR,Pack (20),£13.91,£28.71,€33.30,51.5%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
FMA1410,UnoDent Luminos Flowable Syringe A2 2g (FLU861) - Each,UnoDent,FLU861, FILLING MATERIALS ANTERIOR,Each,£8.14,£12.50,€14.50,34.9%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
FMA355,SDI Wave Flowable Composite Syringe A2 1g (7510203) - Each,SDI,7510203, FILLING MATERIALS ANTERIOR,Each,£8.19,£14.03,€16.27,41.6%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,£10.95,28.1%,https://www.dentalsky.com/wave-1g-syringe-a2.html,,,,,€11.35,,https://www.dontalia.com/wave-flow-1-syringe.html,,,,,,,,,,,
FMA549A,Kulzer Venus Pearl ART PLT A2 20x0.2g (66048141) - Box20,Kulzer,66048141, FILLING MATERIALS ANTERIOR,Box (20),£45.27,£66.23,€76.83,31.6%,€83.58,-8.1%,https://www.dmi.ie/products/kulzer-venus-pearl-plt-20pk-a2-hera-66048141.html?name=Kulzer%20Venus%20Pearl%20ART&type=simple&_gl=1*i4jsj3*_up*MQ..*_ga*NjcyMTUxNjU2LjE3NDQxMjUyNjM.*_ga_0T1NKWVSZ2*MTc0NDEyNTI2My4xLjEuMTc0NDEyNTU5My4wLjAuMA..,,,,,£69.98,,https://www.dmi.co.uk/products/kulzer-venus-pearl-plt-20pk-a2-hera-66048141.html?name=Kulzer%20Venus%20Pearl%20ART&type=simple&_gl=1*i4jsj3*_up*MQ..*_ga*NjcyMTUxNjU2LjE3NDQxMjUyNjM.*_ga_0T1NKWVSZ2*MTc0NDEyNTI2My4xLjEuMTc0NDEyNTU5My4wLjAuMA..,,,,,N/A,N/A,,Not listed on competitor,,,,€54.75,,https://www.dontalia.com/venus-pearl-plt-20-pcs.html,,,,,,,,,,,
FMA954,Kulzer Venus Pearl ART PLT A3 20x0.2g (66048143) - Box20,Kulzer,66048143, FILLING MATERIALS ANTERIOR,Box (20),£45.27,£64.97,€75.37,30.3%,€83.58,-9.8%,https://www.dmi.ie/products/kulzer-venus-pearl-plt-20pk-a3-hera-66048143.html?name=Kulzer%20Venus%20Pearl%20ART&type=simple&_gl=1*y80bj2*_up*MQ..*_ga*NjcyMTUxNjU2LjE3NDQxMjUyNjM.*_ga_0T1NKWVSZ2*MTc0NDEyNTI2My4xLjEuMTc0NDEyNTU5My4wLjAuMA..,,,,,£69.98,,https://www.dmi.co.uk/products/kulzer-venus-pearl-plt-20pk-a3-hera-66048143.html?name=Kulzer%20Venus%20Pearl%20ART&type=simple&_gl=1*y80bj2*_up*MQ..*_ga*NjcyMTUxNjU2LjE3NDQxMjUyNjM.*_ga_0T1NKWVSZ2*MTc0NDEyNTI2My4xLjEuMTc0NDEyNTU5My4wLjAuMA..,,,,,N/A,N/A,,Not listed on competitor,,,,€54.75,,https://www.dontalia.com/venus-pearl-plt-20-pcs.html,,,,,,,,,,,
FMP213,3M Filtek One Bulk Fill Capsules A2 (4867A2) - Pack20,3M,4867A2, FILLING MATERIALS ANTERIOR,Pack (20),£39.50,£58.09,€67.38,32.0%,€89.13,-24.4%,https://www.dmi.ie/products/3m-filtek-one-bulk-fill-capsules-20pk-a2-3m-4867a2.html,,,,,£70.40,,https://www.dmi.co.uk/products/3m-filtek-one-bulk-fill-capsules-20pk-a2-3m-4867a2.html,,,,,51.95,11.8%,https://www.dentalsky.com/3mtm-filtektm-one-bulk-fill-restorative-20-x-0-2g-capsules-a2.html,,,,,€49.99,,https://www.dontalia.com/filtek-one-capsules.html,,,,,,,,,,,
FPM007,"3M Sof-Lex Discs 3/8"" Coarse (1981C) - Pack85",3M,1981 C," FINISHING, POLISHING MATERIALS",Pack (85),£32.71,£46.67,€54.14,29.9%,€70.30,-23.0%,https://www.dmi.ie/products/3m-sof-lex-discs-85pk-3-8-9-5mm-black-coarse-3m-1981c.html?name=3M%20Sof-Lex%20Discs&type=simple&_gl=1*yl09ei*_up*MQ..*_ga*NTM2MTc4MDQ2LjE3NDQ3NDYxOTE.*_ga_0T1NKWVSZ2*MTc0NDc0NjE5MS4xLjAuMTc0NDc0NjE5MS4wLjAuMA..,,,,,£55.53,,https://www.dmi.co.uk/products/3m-sof-lex-discs-85pk-3-8-9-5mm-black-coarse-3m-1981c.html?name=3M%20Sof-Lex%20Discs&type=simple&_gl=1*yl09ei*_up*MQ..*_ga*NTM2MTc4MDQ2LjE3NDQ3NDYxOTE.*_ga_0T1NKWVSZ2*MTc0NDc0NjE5MS4xLjAuMTc0NDc0NjE5MS4wLjAuMA..,,,,,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,,,,,,,
FPM011,"3M Sof-Lex Discs 1/2"" Coarse (1982C) - Pack85",3M,1982 C," FINISHING, POLISHING MATERIALS",Pack (85),£32.74,£49.84,€57.81,34.3%,€65.40,-11.6%,https://www.dmi.ie/products/3m-sof-lex-discs-85pk-1-2-12-7mm-black-coarse-3m-1982c.html,,3M Sof-Lex Pop-On Discs 1/2&quot;/12.7mm Pack 85 Coarse Black,MATCH,,£55.53,-10.2%,https://www.dmi.co.uk/products/3m-sof-lex-discs-85pk-1-2-12-7mm-black-coarse-3m-1982c.html,,3M Sof-Lex Pop-On Discs 1/2&quot;/12.7mm Pack 85 Coarse Black,MATCH,,N/A,N/A,,Not listed on competitor,,,,€37.31,,https://www.dontalia.com/pop-ontm-1982.html,,,,,,,,,,,
FPM016,3M Sof-Lex Mandrels (1983RA) - Pack3,3M,1983 RA," FINISHING, POLISHING MATERIALS",Pack (3),£14.36,£29.78,€34.54,51.8%,€32.63,5.9%,https://www.dmi.ie/products/3m-sof-lex-mandrels-3pk-right-angle-3m-1983ra.html,,3M Sof-Lex Pop On Mandrels Ra Pack 3,MATCH,,£27.71,7.5%,https://www.dmi.co.uk/products/3m-sof-lex-mandrels-3pk-right-angle-3m-1983ra.html,,3M Sof-Lex Pop On Mandrels Ra Pack 3,MATCH,,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,,,,,,,
FPM085,Perfection Plus Tofflemire Bands No.1 Thin (085/0055),Surrey Dental,085/0055," FINISHING, POLISHING MATERIALS",Pack (12),£0.85,£1.50,€1.74,43.3%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
FPM118,Perfection Plus Prophy Paste Mint Coarse 250g (PP010/0046),Perfection Plus,010/0046," FINISHING, POLISHING MATERIALS",Each,£4.35,£6.58,€7.63,33.9%,€8.19,-6.8%,https://www.dmi.ie/products/perfection-plus-prophy-paste-tub-250g-course-mint-perf-0100046.html,,Perfection Plus Prophy Paste 250G Coarse Mint,UNKNOWN,,£7.37,-10.7%,https://www.dmi.co.uk/products/perfection-plus-prophy-paste-tub-250g-course-mint-perf-0100046.html,,Perfection Plus Prophy Paste 250G Coarse Mint,UNKNOWN,,£8.58,-23.3%,https://www.dentalsky.com/perfection-plus-prophy-paste-coarse-mint-250g.html,,Perfection Plus Prophy Paste - Coarse Mint (250g),UNKNOWN,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
FPM326,Astek Pro-Matrix - Wide - Blue (19005) - Pack50,Astek Innovations,19005," FINISHING, POLISHING MATERIALS",Pack (50),£29.51,£56.00,€64.96,47.3%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,,,,,,,
FPM351,UnoDent Alpha-Pro Prophy Paste Coarse Mint 300g (PPA020),UnoDent,PPA020," FINISHING, POLISHING MATERIALS",Each,£5.01,£7.49,€8.69,33.1%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
FPM361,Perfection Plus Prophy Paste Mint Medium 250g (PP010/0001),Perfection Plus,PP010/0001," FINISHING, POLISHING MATERIALS",Each,£4.35,£6.12,€7.10,28.9%,€8.19,-13.3%,https://www.dmi.ie/products/perfection-plus-prophy-paste-tub-250g-medium-mint-perf-0100001.html,,Perfection Plus Prophy Paste Medium Mint 250g,UNKNOWN,,£7.37,-17.0%,https://www.dmi.co.uk/products/perfection-plus-prophy-paste-tub-250g-medium-mint-perf-0100001.html,,Perfection Plus Prophy Paste Medium Mint 250g,UNKNOWN,,£8.58,-28.7%,https://www.dentalsky.com/perfection-plus-prophy-paste-medium-mint-250g.html,,Perfection Plus Prophy Paste - Medium Mint (250g),UNKNOWN,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
FPM505,Bossklein Tofflemire Matrix Bands No.1 Universal (CPM050),Bossklein,CPM050," FINISHING, POLISHING MATERIALS",Pack (12),£0.60,£0.86,€1.00,30.2%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,,,,,,,
GSC305,UnoDent Surface Disinfectant Spray Economy Refill 5L,UnoDent,GSC305,"CLEANING, STERILIZING PRODUCTS",Each,£18.35,£33.99,€39.43,46.0%,€35.99,9.6%,https://www.dmi.ie/products/alcohol-surface-disinfectant-spray-economy-refill-5-litre-uno-gsc305.html,,UnoDent Alcohol Surface Disinfectant Spray Economy Refill (5 Litres),UNKNOWN,,£30.95,9.8%,https://www.dmi.co.uk/products/alcohol-surface-disinfectant-spray-economy-refill-5-litre-uno-gsc305.html,,UnoDent Alcohol Surface Disinfectant Spray Economy Refill (5 Litres),UNKNOWN,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
GSI032,Swann-Morton Surgical Blades Sterile No.15 (0205) - Box100,Swann-Morton,0205,GENERAL SURGICAL INSTRUMENTS,Box (100),£9.26,£14.93,€17.32,38.0%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,£17.22,-13.3%,https://www.dentalsky.com/carbon-steel-sterile-blades-no-15-100.html,,Swann-Morton Sterile Carbon Steel Surgical Scalpel Blades - No.15 (100),UNKNOWN,,€24.19,,https://www.dontalia.com/carbon-steel-surgical-blades.html,,,,,,,,,,,
